iter	Passed	Remaining
1445	4124	1580
1446	4127	1577
1447	4130	1574
1448	4135	1572
1449	4138	1569
1450	4141	1566
1451	4144	1564
1452	4149	1562
1453	4152	1559
1454	4156	1556
1455	4159	1553
1456	4162	1551
1457	4166	1549
1458	4169	1546
1459	4172	1543
1460	4176	1540
1461	4180	1538
1462	4184	1535
1463	4187	1533
1464	4190	1530
1465	4193	1527
1466	4197	1525
1467	4201	1522
1468	4204	1519
1469	4207	1516
1470	4211	1514
1471	4215	1512
1472	4218	1509
1473	4221	1506
1474	4225	1503
1475	4229	1501
1476	4232	1498
1477	4235	1496
1478	4239	1493
1479	4243	1490
1480	4246	1488
1481	4249	1485
1482	4253	1482
1483	4256	1479
1484	4260	1477
1485	4263	1474
1486	4267	1472
1487	4270	1469
1488	4275	1467
1489	4279	1464
1490	4282	1461
1491	4285	1459
1492	4289	1456
1493	4292	1453
1494	4296	1451
1495	4299	1448
1496	4302	1445
1497	4307	1443
1498	4310	1440
1499	4313	1437
1500	4316	1435
1501	4320	1432
1502	4324	1429
1503	4327	1427
1504	4331	1424
1505	4334	1421
1506	4338	1419
1507	4341	1416
1508	4344	1413
1509	4347	1410
1510	4350	1407
1511	4355	1405
1512	4358	1402
1513	4361	1400
1514	4364	1397
1515	4369	1394
1516	4372	1392
1517	4375	1389
1518	4379	1386
1519	4382	1383
1520	4387	1381
1521	4390	1378
1522	4393	1376
1523	4396	1373
1524	4401	1370
1525	4404	1368
1526	4407	1365
1527	4410	1362
1528	4413	1359
1529	4418	1357
1530	4422	1354
1531	4425	1351
1532	4428	1349
1533	4432	1346
1534	4435	1343
1535	4439	1340
1536	4442	1338
1537	4445	1335
1538	4449	1332
1539	4453	1330
1540	4456	1327
1541	4459	1324
1542	4464	1322
1543	4468	1319
1544	4471	1316
1545	4474	1313
1546	4478	1311
1547	4482	1308
1548	4486	1306
1549	4489	1303
1550	4492	1300
1551	4497	1298
1552	4500	1295
1553	4503	1292
1554	4506	1289
1555	4510	1287
1556	4514	1284
1557	4517	1281
1558	4520	1278
1559	4524	1276
1560	4528	1273
1561	4531	1270
1562	4534	1267
1563	4537	1265
1564	4542	1262
1565	4546	1259
1566	4549	1257
1567	4552	1254
1568	4556	1251
1569	4561	1249
1570	4564	1246
1571	4567	1243
1572	4570	1240
1573	4576	1238
1574	4579	1235
1575	4582	1232
1576	4586	1230
1577	4591	1227
1578	4594	1224
1579	4597	1222
1580	4600	1219
1581	4606	1217
1582	4609	1214
1583	4612	1211
1584	4615	1208
1585	4620	1206
1586	4623	1203
1587	4626	1200
1588	4629	1197
1589	4632	1194
1590	4637	1192
1591	4641	1189
1592	4644	1186
1593	4647	1183
1594	4651	1181
1595	4654	1178
1596	4658	1175
1597	4661	1172
1598	4664	1169
1599	4670	1167
1600	4673	1164
1601	4676	1161
1602	4680	1159
1603	4685	1156
1604	4688	1153
1605	4691	1151
1606	4694	1148
1607	4699	1145
1608	4703	1142
1609	4706	1140
1610	4709	1137
1611	4714	1134
1612	4718	1132
1613	4721	1129
1614	4725	1126
1615	4728	1123
1616	4732	1120
1617	4735	1117
1618	4738	1115
1619	4741	1112
1620	4747	1110
1621	4751	1107
1622	4754	1104
1623	4757	1101
1624	4762	1099
1625	4766	1096
1626	4769	1093
1627	4773	1090
1628	4778	1088
1629	4782	1085
1630	4785	1082
1631	4788	1079
1632	4792	1077
1633	4796	1074
1634	4799	1071
1635	4802	1068
1636	4806	1065
1637	4811	1063
1638	4815	1060
1639	4818	1057
1640	4821	1054
1641	4826	1052
1642	4829	1049
1643	4833	1046
1644	4836	1043
1645	4841	1041
1646	4844	1038
1647	4848	1035
1648	4851	1032
1649	4855	1030
1650	4859	1027
1651	4862	1024
1652	4866	1021
1653	4870	1018
1654	4874	1016
1655	4877	1013
1656	4880	1010
1657	4883	1007
1658	4888	1004
1659	4891	1001
1660	4894	998
1661	4897	995
1662	4901	993
1663	4905	990
1664	4908	987
1665	4911	984
1666	4915	981
1667	4920	979
1668	4923	976
1669	4926	973
1670	4929	970
1671	4933	967
1672	4937	965
1673	4940	962
1674	4943	959
1675	4946	956
1676	4951	953
1677	4954	950
1678	4958	947
1679	4961	944
1680	4965	942
1681	4968	939
1682	4971	936
1683	4974	933
1684	4977	930
1685	4982	927
1686	4985	924
1687	4988	922
1688	4991	919
1689	4995	916
1690	4999	913
1691	5002	910
1692	5005	907
1693	5008	904
1694	5013	902
1695	5016	899
1696	5020	896
1697	5023	893
1698	5026	890
1699	5030	887
1700	5033	884
1701	5036	881
1702	5039	878
1703	5044	876
1704	5047	873
1705	5051	870
1706	5054	867
1707	5057	864
1708	5061	861
1709	5064	858
1710	5067	856
1711	5070	853
1712	5075	850
1713	5078	847
1714	5081	844
1715	5084	841
1716	5087	838
1717	5092	835
1718	5095	832
1719	5098	829
1720	5101	826
1721	5104	824
1722	5108	821
1723	5111	818
1724	5114	815
1725	5117	812
1726	5122	809
